,tw_negative,tw_neutral,tw_positive,date
0,0.5522527,0.42297795,0.024769384,2021-10-01
1,0.0014384886,0.035652194,0.96290934,2021-10-01
2,0.004862564,0.56629235,0.4288451,2021-10-01
3,0.008629351,0.16102888,0.83034176,2021-10-01
4,0.00089150516,0.01812956,0.98097897,2021-10-01
5,0.67480654,0.28073567,0.04445775,2021-10-01
6,0.08057984,0.49300995,0.42641023,2021-10-01
7,0.34253532,0.39990488,0.2575598,2021-10-01
8,0.4463873,0.3947303,0.15888247,2021-10-01
9,0.0010434298,0.008341797,0.9906148,2021-10-01
10,0.0035698314,0.14658886,0.84984136,2021-10-01
11,0.4386752,0.5008624,0.060462344,2021-10-01
12,0.18585698,0.70870334,0.10543965,2021-10-01
13,0.0031381564,0.21561715,0.7812447,2021-10-01
14,0.42711213,0.48114747,0.09174035,2021-10-01
15,0.44805366,0.45886418,0.09308217,2021-10-01
16,0.8689044,0.120443076,0.010652478,2021-10-01
17,0.9148393,0.0768091,0.008351644,2021-10-01
18,0.041961107,0.6016676,0.35637128,2021-10-01
19,0.08076881,0.8183924,0.10083881,2021-10-01
20,0.1316524,0.46039346,0.40795413,2021-10-01
21,0.035457335,0.8034617,0.161081,2021-10-01
22,0.0048581883,0.41918513,0.5759567,2021-10-01
23,0.0782081,0.6813392,0.24045275,2021-10-01
24,0.3582864,0.5101822,0.13153142,2021-10-01
25,0.33157414,0.47719163,0.19123419,2021-10-01
26,0.12269899,0.48847008,0.38883087,2021-10-01
27,0.558493,0.39582,0.045686975,2021-10-01
28,0.0036294735,0.13781504,0.85855544,2021-10-01
29,0.004648235,0.092703305,0.90264845,2021-10-01
30,0.035949826,0.35163265,0.61241746,2021-10-01
31,0.15202446,0.49203753,0.355938,2021-10-01
32,0.092154086,0.76219726,0.1456486,2021-10-01
33,0.0015898553,0.025758753,0.9726514,2021-10-01
34,0.020585714,0.88995826,0.08945596,2021-10-01
35,0.12654792,0.6544741,0.21897805,2021-10-01
36,0.70875174,0.24924031,0.04200793,2021-10-01
37,0.6241678,0.35061833,0.025213871,2021-10-01
38,0.0504223,0.8779773,0.07160046,2021-10-01
39,0.14925231,0.43092296,0.4198248,2021-10-01
40,0.014936568,0.27312556,0.71193784,2021-10-01
41,0.0013500989,0.008752425,0.9898975,2021-10-01
42,0.051451042,0.45798436,0.49056455,2021-10-01
43,0.08564692,0.5104438,0.40390933,2021-10-01
44,0.17264996,0.6841696,0.14318046,2021-10-01
45,0.11491362,0.71146643,0.17362,2021-10-01
46,0.3266145,0.6323868,0.04099866,2021-10-01
47,0.043007854,0.8683928,0.08859925,2021-10-01
48,0.00079933205,0.028598236,0.9706024,2021-10-01
49,0.4959678,0.39755565,0.10647656,2021-10-01
50,0.0062847743,0.1658542,0.827861,2021-10-01
51,0.2291463,0.568393,0.20246069,2021-10-01
52,0.000697189,0.012988421,0.9863144,2021-10-01
53,0.22792955,0.30650756,0.46556282,2021-10-01
54,0.09489588,0.4283327,0.47677147,2021-10-01
55,0.0014296409,0.011050723,0.9875196,2021-10-01
56,0.36941388,0.5175655,0.11302063,2021-10-01
57,0.019195007,0.6267596,0.35404542,2021-10-01
58,0.0042930963,0.064005665,0.9317012,2021-10-01
59,0.6799558,0.3024738,0.017570378,2021-10-01
60,0.09715175,0.7773921,0.12545611,2021-10-01
61,0.040151346,0.8581466,0.101702064,2021-10-01
62,0.8254774,0.15307957,0.02144301,2021-10-01
63,0.010036872,0.29789698,0.69206613,2021-10-01
64,0.33224905,0.58519834,0.08255259,2021-10-01
65,0.004423171,0.029055916,0.9665209,2021-10-01
66,0.33668518,0.60508704,0.058227748,2021-10-01
67,0.07322027,0.39633113,0.53044856,2021-10-01
68,0.48952568,0.40243495,0.10803942,2021-10-01
69,0.0021007026,0.11582393,0.88207537,2021-10-01
70,0.0020046295,0.6639843,0.33401105,2021-10-01
71,0.0030526007,0.11706609,0.8798813,2021-10-01
72,0.019972598,0.86539316,0.11463418,2021-10-01
73,0.105378486,0.79438514,0.10023632,2021-10-01
74,0.0025375683,0.03687717,0.9605853,2021-10-01
75,0.004171855,0.032167934,0.9636602,2021-10-01
76,0.0048432215,0.45560372,0.53955305,2021-10-01
77,0.029387027,0.92156804,0.04904494,2021-10-01
78,0.0061699282,0.5781815,0.41564855,2021-10-01
79,0.05572351,0.87194836,0.07232809,2021-10-01
80,0.056473803,0.3312825,0.6122437,2021-10-01
81,0.0020759325,0.08910407,0.9088199,2021-10-01
82,0.7779811,0.20757581,0.01444308,2021-10-01
83,0.0023463008,0.1059429,0.8917108,2021-10-01
84,0.30519497,0.5614287,0.13337629,2021-10-01
85,0.013661375,0.7072458,0.2790928,2021-10-01
86,0.20506175,0.734271,0.060667273,2021-10-01
87,0.014007934,0.8340918,0.1519003,2021-10-01
88,0.00392318,0.2641619,0.73191494,2021-10-01
89,0.0029319404,0.41897967,0.5780884,2021-10-01
90,0.02428893,0.29757473,0.67813635,2021-10-01
91,0.1649694,0.4464172,0.3886134,2021-10-01
92,0.07058531,0.31650105,0.6129136,2021-10-01
93,0.014491583,0.21566837,0.76984,2021-10-01
94,0.036964256,0.8454375,0.11759817,2021-10-02
95,0.010084111,0.11204424,0.87787163,2021-10-02
96,0.465651,0.44983172,0.08451721,2021-10-02
97,0.0021971487,0.024147568,0.9736553,2021-10-02
98,0.0037372306,0.38448173,0.611781,2021-10-02
99,0.0009063363,0.031131946,0.9679617,2021-10-02
100,0.0047810744,0.051595498,0.94362336,2021-10-02
101,0.0008473136,0.011746633,0.9874061,2021-10-02
102,0.010808361,0.17904331,0.81014836,2021-10-02
103,0.0054895803,0.1010299,0.89348054,2021-10-02
104,0.03785942,0.883843,0.07829756,2021-10-02
105,0.17176288,0.53040105,0.29783604,2021-10-02
106,0.0017024205,0.01226383,0.98603374,2021-10-02
107,0.031540565,0.639814,0.32864535,2021-10-02
108,0.116762646,0.6974286,0.18580876,2021-10-02
109,0.09640583,0.36290932,0.5406848,2021-10-02
110,0.0032535766,0.044831745,0.95191467,2021-10-02
111,0.19641772,0.6336714,0.16991086,2021-10-02
112,0.001104712,0.006596345,0.992299,2021-10-02
113,0.49038073,0.4510348,0.058584496,2021-10-02
114,0.013212908,0.09969066,0.8870964,2021-10-02
115,0.0013521882,0.01044392,0.9882039,2021-10-02
116,0.0052184793,0.076710485,0.91807103,2021-10-02
117,0.026162371,0.38960248,0.58423513,2021-10-02
118,0.05367649,0.20053191,0.7457916,2021-10-02
119,0.0027827683,0.3219547,0.6752626,2021-10-02
120,0.311562,0.49431065,0.19412726,2021-10-02
121,0.5259438,0.39245406,0.08160216,2021-10-02
122,0.65221584,0.30486715,0.042916924,2021-10-02
123,0.012978955,0.80641216,0.18060887,2021-10-02
124,0.08993794,0.41005892,0.50000316,2021-10-02
125,0.0026098753,0.20408039,0.79330975,2021-10-02
126,0.0095271235,0.83094126,0.15953167,2021-10-02
127,0.033450972,0.15602852,0.8105205,2021-10-02
128,0.102010444,0.52417886,0.3738107,2021-10-02
129,0.004855265,0.14668685,0.8484579,2021-10-02
130,0.3220683,0.5791247,0.09880704,2021-10-02
131,0.05409865,0.8491012,0.096800156,2021-10-02
132,0.0010044267,0.0073725744,0.991623,2021-10-02
133,0.1605702,0.47266528,0.36676455,2021-10-02
134,0.6483281,0.29691142,0.054760493,2021-10-02
135,0.17554067,0.47091,0.35354933,2021-10-02
136,0.12211716,0.55800796,0.31987485,2021-10-02
137,0.1612969,0.7855644,0.053138714,2021-10-02
138,0.01874594,0.7968537,0.18440035,2021-10-02
139,0.014929769,0.8904573,0.094612956,2021-10-02
140,0.0029641795,0.36259168,0.6344441,2021-10-02
141,0.098122545,0.65332603,0.24855146,2021-10-02
